system,Cause,Effect,rho_Lmax,p_Z,Kendall_tau,Kendall_p,Convergence,Std_L_strength
Gv,Richness,Biomass,0.194813457,0.002031356,0.943879843,0.000123501,TRUE,0.410505217
Gv,Richness,NO3,0.234866481,0.000521083,0.961904705,7.15E-07,TRUE,0.494903778
Gv,Richness,PO4,0.361514761,6.64E-06,0.980952322,4.77E-07,TRUE,0.761773328
Gv,Biomass,Richness,0.169167942,0.006440715,0.972390532,1.79E-06,TRUE,0.356465738
Gv,Biomass,NO3,0.288431436,1.87E-05,0.97802192,1.43E-06,TRUE,0.607774284
Gv,Biomass,PO4,0.263172397,0.000321951,0.99999994,2.38E-07,TRUE,0.554549176
Gv,Temp,Richness,0.47456999,3.43E-14,0.999999881,8.34E-06,TRUE,1
Gv,Temp,Biomass,0.174690213,0.006137571,0.781818211,0.001076579,TRUE,0.368102107
Gv,NO3,Richness,0.127682219,0.073501346,0.561904728,0.004101396,FALSE,0.269048237
Gv,NO3,Biomass,0.276223635,9.49E-05,0.99999994,8.34E-07,TRUE,0.582050364
Gv,PO4,Richness,0.361148737,6.32E-08,0.999999881,8.34E-06,TRUE,0.761002054
Gv,PO4,Biomass,0.174404436,0.011574353,0.961904705,7.15E-07,TRUE,0.367499925
Bw,Richness,Biomass,0.238392635,0.001267617,0.961904705,7.15E-07,TRUE,0.657797689
Bw,Richness,NO3,0.259348132,0.000237075,0.980952322,4.77E-07,TRUE,0.715620269
Bw,Richness,PO4,0.223475004,0.00600423,0.942857087,1.19E-06,TRUE,0.616635414
Bw,Biomass,Richness,0.228953563,0.00300782,0.99999994,2.38E-07,TRUE,0.631752421
Bw,Biomass,NO3,0.362410266,1.06E-05,0.980952322,4.77E-07,TRUE,1
Bw,Biomass,PO4,0.215876513,0.011015821,0.961904705,7.15E-07,TRUE,0.595668869
Bw,Temp,Richness,0.104700942,0.073471256,0.925820053,5.01E-06,FALSE,0.288901699
Bw,Temp,Biomass,0.319379033,9.48E-06,0.980952322,4.77E-07,TRUE,0.881263757
Bw,NO3,Richness,0.325205924,0.000177541,0.961904705,7.15E-07,TRUE,0.89734192
Bw,NO3,Biomass,0.264681919,0.001097864,0.99999994,2.38E-07,TRUE,0.730337806
Bw,PO4,Richness,0.320925176,0.000316236,0.961904705,7.15E-07,TRUE,0.885530038
Bw,PO4,Biomass,0.305645067,0.000168164,0.828571379,2.09E-05,TRUE,0.843367575
Ks3,Richness,Biomass,0.448815368,1.84E-05,0.561904728,0.004101396,TRUE,0.738974765
Ks3,Richness,NO3,0.607348707,1.78E-08,0.99999994,8.34E-07,TRUE,1
Ks3,Richness,PO4,0.06994033,0.168712988,0.790476143,4.95E-05,FALSE,0.115156794
Ks3,Biomass,Richness,0.403978426,0.000919366,0.99999994,8.34E-07,TRUE,0.665150715
Ks3,Biomass,NO3,0.380725052,1.53E-06,0.956043899,2.50E-06,TRUE,0.626864021
Ks3,Biomass,PO4,0.277788198,0.000378169,0.980952322,4.77E-07,TRUE,0.457378431
Ks3,Temp,Richness,0.110321628,0.064656718,0.934065878,4.29E-06,FALSE,0.181644625
Ks3,Temp,Biomass,0.230004643,0.000661113,0.918670774,2.50E-06,TRUE,0.378702779
Ks3,NO3,Richness,0.454970243,8.26E-06,0.97802192,1.43E-06,TRUE,0.74910877
Ks3,NO3,Biomass,0.403632925,6.86E-06,0.923809469,2.03E-06,TRUE,0.664581847
Ks3,PO4,Richness,0.227228049,0.000770839,0.913873434,1.76E-05,TRUE,0.374131115
Ks3,PO4,Biomass,0.198595443,0.005571396,0.961904705,7.15E-07,TRUE,0.326987512
Ks9,Richness,Biomass,0.369351259,0.000134312,0.787878692,0.000470161,TRUE,0.58584844
Ks9,Richness,NO3,0.435413198,6.55E-06,0.969696879,1.56E-05,TRUE,0.690632931
Ks9,Richness,PO4,0.471174479,3.56E-10,1.000000119,2.62E-06,TRUE,0.747355876
Ks9,Biomass,Richness,0.41196231,5.59E-08,0.999999881,8.34E-06,TRUE,0.653436182
Ks9,Biomass,NO3,0.578806282,3.73E-10,1.000000119,2.62E-06,TRUE,0.918076625
Ks9,Biomass,PO4,0.481573414,7.64E-08,0.969696879,1.56E-05,TRUE,0.763850201
Ks9,Temp,Richness,0.157180034,0.018404095,0.999999881,8.34E-06,TRUE,0.249311937
Ks9,Temp,Biomass,0.231232294,0.000630759,0.879049003,0.000230789,TRUE,0.366770318
Ks9,NO3,Richness,0.431378556,1.01E-08,0.999999881,8.34E-06,TRUE,0.684233363
Ks9,NO3,Biomass,0.630455308,9.27E-11,1.000000119,2.62E-06,TRUE,1
Ks9,PO4,Richness,0.392706154,1.62E-07,0.999999881,8.34E-06,TRUE,0.622892929
Ks9,PO4,Biomass,0.494738196,1.00E-08,0.999999881,8.34E-06,TRUE,0.784731589
Me,Richness,Biomass,0.094029682,0.215870279,0.836660028,0.096092343,FALSE,0.250667427
Me,Richness,NO3,0.234832322,0.033844954,1,0.002666712,TRUE,0.626023746
Me,Richness,PO4,0.206931978,0.037371872,1.000000119,0.000836611,TRUE,0.55164609
Me,Biomass,Richness,0.093739833,0.216584954,0.809523821,0.016260982,FALSE,0.249894738
Me,Biomass,NO3,0.165566697,0.081795076,0.975900054,0.003897905,FALSE,0.44137316
Me,Biomass,PO4,0.375117275,0.005114797,1,0.002666712,TRUE,1
Me,Temp,Richness,0.228739892,0.018636661,0.925820053,0.007680297,TRUE,0.609782346
Me,Temp,Biomass,0.270459764,0.010381788,0.948683262,0.04326272,TRUE,0.721000555
Me,NO3,Richness,0.117940365,0.144612548,0.981980562,0.001188755,FALSE,0.314409314
Me,NO3,Biomass,0.11275896,0.1824667,1,0.002666712,FALSE,0.300596554
Me,PO4,Richness,0.141049535,0.102032857,0.88640523,0.005275846,FALSE,0.3760145
Me,PO4,Biomass,0.299122982,0.005050837,NA,NA,NA,0.797411907
Mo,Richness,Biomass,0.207085433,0.049010945,0.948683262,0.04326272,TRUE,0.307957776
Mo,Richness,NO3,0.101238315,0.192709766,0.925820053,0.007680297,FALSE,0.150552001
Mo,Richness,PO4,0.393092709,0.007869592,0.99999994,0.008534908,TRUE,0.584570121
Mo,Biomass,Richness,0.293511982,0.008629589,1,0.002666712,TRUE,0.436483127
Mo,Biomass,NO3,0.197958855,0.05710118,0.948683262,0.04326272,FALSE,0.294385596
Mo,Biomass,PO4,0.262998378,0.043568578,1,0.002666712,TRUE,0.391106194
Mo,Temp,Richness,0.265868815,0.0120526,1.000000119,0.000836611,TRUE,0.395374836
Mo,Temp,Biomass,0.672447488,1.89E-08,0.99999994,0.089429379,FALSE,1
Mo,NO3,Richness,0.142692165,0.109809952,0.774596691,0.071238995,FALSE,0.212198227
Mo,NO3,Biomass,0.598526075,9.33E-07,0.99999994,0.089429379,FALSE,0.8900711
Mo,PO4,Richness,0.114937124,0.161972805,0.666666627,0.308179498,FALSE,0.170923568
Mo,PO4,Biomass,0.441522824,0.000105747,0.666666627,0.308179498,FALSE,0.656590785
Mu,Richness,Biomass,0.23026041,0.008269059,0.944911242,0.002241373,TRUE,0.517595667
Mu,Richness,NO3,0.444865411,2.39E-06,1.000000119,2.62E-05,TRUE,1
Mu,Richness,PO4,0.398640333,1.32E-05,0.963636458,5.16E-05,TRUE,0.896091993
Mu,Biomass,Richness,0.131083823,0.08886735,0.912870944,0.001489162,FALSE,0.294659507
Mu,Biomass,NO3,0.273471579,0.002500321,0.866666675,0.000676751,TRUE,0.614728796
Mu,Biomass,PO4,0.233265679,0.007564344,0.963636458,5.16E-05,TRUE,0.524351125
Mu,Temp,Richness,0.11155427,0.115327821,0.881917059,0.001088381,FALSE,0.250759595
Mu,Temp,Biomass,0.170055077,0.03959149,0.873326063,0.001661658,TRUE,0.382261855
Mu,NO3,Richness,0.406351722,8.39E-06,0.955555558,0.000172257,TRUE,0.913426199
