system,Cause,Effect,rho_Lmax,p_Z,Kendall_tau,Kendall_p,Convergence,Std_L_strength
Ks9,Richness,Biomass,0.369351259,0.000134312,0.787878692,0.000470161,TRUE,0.58584844
Ks9,Richness,NO3,0.435413198,6.55E-06,0.969696879,1.56E-05,TRUE,0.690632931
Ks9,Richness,PO4,0.471174479,3.56E-10,1.000000119,2.62E-06,TRUE,0.747355876
Ks9,Biomass,Richness,0.41196231,5.59E-08,0.999999881,8.34E-06,TRUE,0.653436182
Ks9,Biomass,NO3,0.578806282,3.73E-10,1.000000119,2.62E-06,TRUE,0.918076625
Ks9,Biomass,PO4,0.481573414,7.64E-08,0.969696879,1.56E-05,TRUE,0.763850201
Ks9,Temp,Richness,0.157180034,0.018404095,0.999999881,8.34E-06,TRUE,0.249311937
Ks9,Temp,Biomass,0.231232294,0.000630759,0.879049003,0.000230789,TRUE,0.366770318
Ks9,NO3,Richness,0.431378556,1.01E-08,0.999999881,8.34E-06,TRUE,0.684233363
Ks9,NO3,Biomass,0.630455308,9.27E-11,1.000000119,2.62E-06,TRUE,1
Ks9,PO4,Richness,0.392706154,1.62E-07,0.999999881,8.34E-06,TRUE,0.622892929
Ks9,PO4,Biomass,0.494738196,1.00E-08,0.999999881,8.34E-06,TRUE,0.784731589
