system,Cause,Effect,rho_Lmax,p_Z,Kendall_tau,Kendall_p,Convergence,Std_L_strength,SD,SD_std
Gv,Richness,Biomass,0.194813457,0.002031356,0.943879843,0.000123501,TRUE,0.410505217,0.041289641,0.087004323
Gv,Richness,NO3,0.234866481,0.000521083,0.961904705,7.15E-07,TRUE,0.494903778,0.033380311,0.070338015
Gv,Richness,PO4,0.361514761,6.64E-06,0.980952322,4.77E-07,TRUE,0.761773328,0.031671916,0.066738134
Gv,Biomass,Richness,0.169167942,0.006440715,0.972390532,1.79E-06,TRUE,0.356465738,0.053064405,0.111815761
Gv,Biomass,NO3,0.288431436,1.87E-05,0.97802192,1.43E-06,TRUE,0.607774284,0.04256089,0.089683062
Gv,Biomass,PO4,0.263172397,0.000321951,0.99999994,2.38E-07,TRUE,0.554549176,0.033375274,0.070327401
Gv,Temp,Richness,0.47456999,3.43E-14,0.999999881,8.34E-06,TRUE,1,0.039288251,0.082787053
Gv,Temp,Biomass,0.174690213,0.006137571,0.781818211,0.001076579,TRUE,0.368102107,0.053672776,0.113097704
Gv,NO3,Richness,0.127682219,0.073501346,0.561904728,0.004101396,FALSE,0.269048237,0.03728974,0.078575848
Gv,NO3,Biomass,0.276223635,9.49E-05,0.99999994,8.34E-07,TRUE,0.582050364,0.039028084,0.082238837
Gv,PO4,Richness,0.361148737,6.32E-08,0.999999881,8.34E-06,TRUE,0.761002054,0.04091345,0.086211625
Gv,PO4,Biomass,0.174404436,0.011574353,0.961904705,7.15E-07,TRUE,0.367499925,0.035774226,0.075382402
Bw,Richness,Biomass,0.238392635,0.001267617,0.961904705,7.15E-07,TRUE,0.657797689,0.034866794,0.096208075
Bw,Richness,NO3,0.259348132,0.000237075,0.980952322,4.77E-07,TRUE,0.715620269,0.034940075,0.096410278
Bw,Richness,PO4,0.223475004,0.00600423,0.942857087,1.19E-06,TRUE,0.616635414,0.032595593,0.08994114
Bw,Biomass,Richness,0.228953563,0.00300782,0.99999994,2.38E-07,TRUE,0.631752421,0.034934804,0.096395735
Bw,Biomass,NO3,0.362410266,1.06E-05,0.980952322,4.77E-07,TRUE,1,0.031241741,0.086205452
