"system","Cause","Effect","rho_Lmax","p_Z","Kendall_tau","Kendall_p","Convergence","Std_L_strength","SD","SDstd"
"Ks9","Richness","Biomass",0.369351258947294,0.000134311520899377,0.787878692150116,0.000470161437988281,TRUE,0.585848440230448,0.021001824564344,0.0333121543922237
"Ks9","Richness","NO3",0.435413197574287,6.54554357537585e-06,0.969696879386902,1.56164169311523e-05,TRUE,0.690632931323102,0.0192223388346585,0.0304896137513176
"Ks9","Richness","PO4",0.471174479025573,3.56125240408289e-10,1.00000011920929,2.62260437011719e-06,TRUE,0.747355875813913,0.021128791540722,0.0335135437289863
"Ks9","Biomass","Richness",0.411962309510374,5.58713274534384e-08,0.99999988079071,8.34465026855469e-06,TRUE,0.653436181991803,0.0318487985355958,0.0505171391549395
"Ks9","Biomass","NO3",0.578806281812463,3.73427844202467e-10,1.00000011920929,2.62260437011719e-06,TRUE,0.918076625383332,0.0188593989338948,0.0299139347205601
"Ks9","Biomass","PO4",0.481573413813661,7.63700442885096e-08,0.969696879386902,1.56164169311523e-05,TRUE,0.763850200871916,0.027372672994947,0.0434173091076865
"Ks9","Temp","Richness",0.157180034039598,0.0184040952614489,0.99999988079071,8.34465026855469e-06,TRUE,0.249311936934828,0.0329135770179201,0.0522060431398308
"Ks9","Temp","Biomass",0.231232293814153,0.000630759266302072,0.879049003124237,0.000230789184570312,TRUE,0.366770317902886,0.0346788136137502,0.0550059824421964
"Ks9","NO3","Richness",0.431378555827495,1.0062498279062e-08,0.99999988079071,8.34465026855469e-06,TRUE,0.684233363115366,0.0342171554551855,0.0542737209280875
"Ks9","NO3","Biomass",0.630455308205662,9.26916321475346e-11,1.00000011920929,2.62260437011719e-06,TRUE,1,0.0297860191261643,0.0472452507552649
"Ks9","PO4","Richness",0.392706153567223,1.61853136892987e-07,0.99999988079071,8.34465026855469e-06,TRUE,0.622892929056149,0.0329943586442721,0.0523341753409569
"Ks9","PO4","Biomass",0.494738195788353,1.00207842024247e-08,0.99999988079071,8.34465026855469e-06,TRUE,0.784731588978807,0.0321070657284154,0.0509267910199619
