Year,Month,Richness,Biomass_(Chla)_£gg/l,Temperature_DegreeCelsius,NO3_£gg/l,PO4_£gg/l
1978,5,NA,13,20.2,4,1
1978,6,NA,34,23.3,NA,1
1978,7,10,17,28.4,NA,1
1978,8,NA,54,29.8,NA,5
1978,9,10,90,22.7,6,4
1978,10,19,44,18.3,NA,1
1978,11,NA,43,12.2,NA,1
1978,12,11,47,8.3,6,1
1979,1,19,59,5,4,1
1979,2,10,70,8,4,1
1979,3,16,48,10,1,1
1979,4,16,62,18.5,1,1
1979,5,19,100,21.3,1,1
1979,6,NA,NA,NA,NA,NA
1979,7,31,144,28.3,5,1
1979,8,25,60,28.2,12,1
1979,9,31,51,24.3,1,1
1979,10,29,64,19.5,195,1
1979,11,40,56,13.7,277,1
1979,12,37,73,10.8,196,1
1980,1,35,58,4,257,2
1980,2,NA,60,6,223,1
1980,3,23,56,7.9,33,2
1980,4,14,62,13.6,78,1
1980,5,25,43,18.7,94.5,1.5
1980,6,29,47.5,24.4,21.5,4.5
1980,7,40,55,25.05,5.5,1
1980,8,30,60,23.4,3,1
1980,9,33,74.5,23.55,17.5,1
1980,10,44,72.5,19.55,6,1
1980,11,28,84,13.65,22,1
1980,12,34,92,8.45,21,1.5
1981,1,30,38.5,3.5,222,1
1981,2,29,17,5.05,412,1
1981,3,18,22.5,7.2,307.5,1
1981,4,24,20,12.05,295,1.5
1981,5,23,48,17.6,56.5,1
1981,6,19,50,21.05,11.5,1
1981,7,24,39,25.75,24.5,2.5
1981,8,32,69,28,2,10
1981,9,31,85,22.9,18.5,10
1981,10,36,63.5,18.8,22,1
1981,11,31,104,10.75,81,1
1981,12,31,94.5,5.7,140,1
1982,1,27,35.5,4.2,183.5,1
1982,2,15,15.5,3.55,371,1
1982,3,16,22.5,7.55,369.5,1.5
1982,4,16,43,12.65,198.5,2
1982,5,16,42.5,20.3,1.5,1
1982,6,27,62,22.45,24.5,3
1982,7,27,79.5,23.35,2.5,1.5
1982,8,23,117.5,26.65,11,18
1982,9,24,146,22.8,50,5.5
1982,10,18,123.5,19.15,179,2
1982,11,24,138,16.65,195.5,3
1982,12,26,139,9.35,71,2
1983,1,20,117.5,5.35,119,3.5
1983,2,13,67,5.65,179,2
