"","NO3->EF","BD->EF","PO4->EF","Temp->EF","NO3->BD","EF->BD","PO4->BD","Temp->BD","BD<->EF","BD<->NO3","BD<->PO4","NO3<->EF","PO4<->EF","Type I-N","Type II-N","Type I-P","Type II-P"
"Gv",0.582050364,0.410505217,0.367499925,0.368102107,0.269048237,0.356465738,0.761002054,1,0.382532410562497,0.364901341400027,0.761387593338909,0.594773270441804,0.451438567901339,0.406409374639377,0.468273637940181,0.557461473026424,0.463838653213541
"Bw",0.730337806,0.657797689,0.843367575,0.881263757,0.89734192,0.631752421,0.885530038,0.288901699,0.644643531383008,0.801346408349957,0.738951406786377,0.854598037676193,0.708779097851737,0.83884830888014,0.691169306049971,0.702694975337337,0.690023835039143
"Ks_3",0.664581847,0.738974765,0.326987512,0.378702779,0.74910877,0.665150715,0.374131115,0.181644625,0.701091715331673,0.865510698951781,0.207566229765454,0.645447479578336,0.386726046698633,0.702720480781812,0.761768211332543,0.501929867041054,0.29258154675941
"Ks_9",1,0.58584844,0.784731589,0.366770318,0.684233363,0.653436182,0.622892929,0.249311937,0.618720104622644,0.687425699968133,0.68229223255655,0.958163151556143,0.774220499592138,0.716620924248922,0.767037894805547,0.653234266993536,0.726357774107336
"Me",0.300596554,0.250667427,0.797411907,0.721000555,0.314409314,0.249894738,0.3760145,0.609782346,0.25028078431094,0.443652675555519,0.455441465732211,0.364246140575423,0.892979231001483,0.32643727368962,0.360947444993562,0.455093708879476,0.479034498093094
"Mo",0.8900711,0.307957776,0.656590785,1,0.212198227,0.436483127,0.170923568,0.395374836,0.366631113044768,0.178736867163723,0.316096205019155,0.511882907759065,0.506751144978304,0.267947572802999,0.388173810374772,0.274070698227828,0.551272445665886
"Mu",0.451336192,0.517595667,0.669738296,0.382261855,0.913426199,0.294659507,0.840601576,0.250759595,0.390531028298081,0.955733330485026,0.867903417182339,0.526734614297736,0.59260275814679,0.662393229053164,0.510434718191168,0.611037239042973,0.561297010501123
"Ng",0.394213807,0.612181605,0.575555636,0.117373816,0.167760188,0.631807262,0.417354498,0.489524061,0.621917023164518,0.321268550933808,0.379073356217354,0.627864481397061,0.535148350657854,0.468298816192946,0.535124279822321,0.502823401767285,0.500269987176486
"Wc",0.645518054,0.941791199,0.694321663,0.29874122,0.747741188,0.790386959,1,0.763868609,0.862774293654241,0.579771833418505,0.986435792639338,0.370462332585756,0.738413127748304,0.531000851242347,0.612120644565839,0.9043382706343,0.811296075751077
"Ft",0.483598189,0.198865392,0.468907494,0.10066666,1,0.172360636,0.209198547,0.179492595,0.185139313608724,0.837358241734086,0.255493441287473,0.235924327380789,0.302304466567989,0.28392698145465,0.388074509657002,0.200896918940808,0.293252711587568
"Sh",0.643605705,0.752056046,0.519893726,0.353333923,0.911564816,0.664315437,0.862501305,0.583374397,0.706825608511026,0.954759035568661,0.825225155405081,0.680766415547715,0.52797078793717,0.790323156556721,0.753352227136074,0.703242420237176,0.648472194272634
