"","BD<->EF","BD<->NO3","BD<->PO4","NO3<->EF","PO4<->EF"
"Gv",0.054039479,0.225855541,0.000771273999999988,-0.02572392,-0.187049251
"Bw",0.0260452680000001,-0.181721651,-0.268894624,-0.269662194,0.247698706
"Ks_3",0.07382405,0.25089123,-0.258974321,0.037717826,-0.130390919
"Ks_9",-0.067587742,0.00639956799999997,0.124462947,0.081923375,0.0208813879999999
"Me",0.000772688999999993,0.311614432,0.17563159,-0.140776606,-0.202588093
"Mo",-0.128525351,-0.061646226,0.413646553,0.595685504,0.265484591
"Mu",0.22293616,0.086573801,0.055490417,-0.163392604,0.145387171
"Ng",-0.0196256570000001,0.447484007,-0.07305101,-0.605786193,0.077977749
"Wc",0.15140424,-0.298206798,-0.026944427,0.432909996,-0.090982867
"Ft",0.026504756,-0.298831175,0.102834684,0.368502042,0.27401193
"Sh",0.087740609,0.0884351839999999,-0.0729412739999999,-0.076467018,-0.016279609
"Ib_a",0.16606456,0.150486489,0.10300217,0.153114397,-0.037183104
"Ib_b",0.114838991,0.259161039,0.259810169,0.2486044,-0.069053532
"Ib_c",0.397722827,0.176746811,0.013525557,-0.065246288,-0.153744084
"Vo",0.240245213,-0.109732921,0.116563817,0.1747486,0.334541862
"Od",-0.0839776999999999,-0.044374766,0.530532374,-0.00858585900000003,-0.117641947
"Mg",0.36930573,0.0419742390000001,0.0504606339999999,0.257291083,-0.299326357
"Kn",0.198925048,0.075719201,-0.139460436,-0.277451688,-0.119152407
"Wd",-0.102945752,-0.537569361,0.264781995,-0.418677562,0.47604356
"Min.",-0.128525351,-0.537569361,-0.268894624,-0.605786193,-0.299326357
"1st Qu.",-0.00942648400000004,-0.0856895735,-0.0499428505,-0.152084605,-0.124771663
"Median",0.07382405,0.075719201,0.055490417,-0.00858585900000003,-0.037183104
"Mean",0.0909319693684211,0.0310136128421053,0.0721709520526316,0.015722489,0.0220334098421053
"3rd Qu.",0.182494804,0.201301176,0.1500472685,0.2116765,0.1965429385
"Max.",0.397722827,0.447484007,0.530532374,0.595685504,0.47604356
"IQR",0.191921288,0.2869907495,0.199990119,0.363761105,0.3213146015
"n_positive",14,12,13,9,8
