"Type","Strength_(Chla)","Strength_(Composition derived Biomass)"
"BD->EF",0.410505217189789,0.508243413676622
"BD->EF",0.6577976888909,0.738918237404638
"BD->EF",0.738974764858503,0.771875524927306
"BD->EF",0.585848440230448,0.586151457781657
"BD->EF",0.250667426995038,0.44542457135846
"BD->EF",0.307957776078767,0.59698917028025
"BD->EF",0.517595667327325,0.653647806952068
"BD->EF",0.6121816045381,1
"BD->EF",0.941791199433477,1
"BD->EF",0.198865391938825,0.570621299674436
"BD->EF",0.75205604593629,0.884712253681671
"BD->EF",0.752229645848787,0.548835543088846
"BD->EF",0.550553933768456,0.35981346527795
"BD->EF",0.991191768701573,0.446691091253725
"BD->EF",1,1
"BD->EF",0.528311111297275,0.984122335623593
"BD->EF",0.924675209984285,1
"BD->EF",0.986720134295795,0.722960924326995
"BD->EF",0.89705424791423,0.454306180539739
"NO3->EF",0.582050364023649,0.728581767686686
"NO3->EF",0.730337806128732,1
"NO3->EF",0.664581846586556,0.506616299585414
"NO3->EF",1,0.975471183812741
"NO3->EF",0.300596554164736,0.671935163993278
"NO3->EF",0.890071100079878,0.182418675477614
"NO3->EF",0.451336192346486,0.453902915058969
"NO3->EF",0.394213806954884,0.405179273566806
"NO3->EF",0.645518053883185,0.613262656287367
"NO3->EF",0.483598189370179,0.553817354024098
"NO3->EF",0.643605704865128,0.60350890328102
"NO3->EF",0.964674126268673,0.745590232208027
"NO3->EF",0.631556895876699,0.728591141258437
"NO3->EF",0.453019978254178,0.479225233443556
"NO3->EF",0.644330750220751,0.478944437731425
"NO3->EF",0.33064818851491,0.269587133043861
"NO3->EF",1,0.523346436473326
"NO3->EF",0.722548311794231,0.770038902719055
"NO3->EF",0.0810851723717332,0.262650017275434
"PO4->EF",0.367499924780053,0.635970817678006
"PO4->EF",0.843367575250805,0.614392125115223
"PO4->EF",0.326987512345092,0.355517694539996
"PO4->EF",0.784731588978807,0.761625758762053
"PO4->EF",0.797411907202183,0.703695587005196
"PO4->EF",0.656590785235796,0.233106582695723
"PO4->EF",0.669738295522457,0.480887157489915
"PO4->EF",0.57555563563528,0.695726638666735
"PO4->EF",0.694321662531594,0.369137592328906
"PO4->EF",0.468907494293521,0.517740109106082
"PO4->EF",0.519893726118096,0.881010373383989
"PO4->EF",0.258410588761907,0.465842581809822
"PO4->EF",0.20445023886253,0.405674697531987
"PO4->EF",0.230444367997088,0.432318683583685
"PO4->EF",0.633379298927706,0.583268089724977
"PO4->EF",0.595372819530263,1
"PO4->EF",0.253346956764023,0.431962670412457
"PO4->EF",0.528455293044361,0.625001407638951
"PO4->EF",0.961919169706217,0.927788889603365
"Temp->EF",0.368102106652902,0.574644760939306
"Temp->EF",0.881263757356281,0.758296232401446
"Temp->EF",0.378702778544485,0.178958174121204
"Temp->EF",0.366770317902886,0.134015593872076
"Temp->EF",0.721000554911448,0.477354048499743
"Temp->EF",1,1
"Temp->EF",0.382261854696941,0.372639612242604
"Temp->EF",0.117373816096289,0.385626640487736
"Temp->EF",0.298741219783703,0.352066209669614
"Temp->EF",0.100666659631862,0.23766543689026
"Temp->EF",0.353333922539553,0.330128745092088
"Temp->EF",0.102775284810316,0.184912100716003
"Temp->EF",0.154944885502006,0.187864822103967
"Temp->EF",0.143938932446825,0.0444168751480699
"Temp->EF",0.135943793710734,0.134408117082669
"Temp->EF",0.685557939578725,0.918053050052073
"Temp->EF",0.329039680652972,0.219407307804522
"Temp->EF",0.485401563770135,0.381658043113194
"Temp->EF",0.230606963848443,0.302376665000625
"EF->BD",0.356465737815738,0.535968595033605
"EF->BD",0.631752421054938,0.670635277534044
"EF->BD",0.665150714677694,0.485715876774381
"EF->BD",0.653436181991803,0.719751202697931
"EF->BD",0.24989473795677,0.622569244566227
"EF->BD",0.436483126704208,0.614423995989299
"EF->BD",0.294659507002375,0.605461764981092
"EF->BD",0.631807262417825,0.851112796924106
"EF->BD",0.79038695852633,0.766260061092366
"EF->BD",0.172360636150005,0.554434567601579
"EF->BD",0.664315437414532,0.63847259261347
"EF->BD",0.586165085881716,0.666945975573865
"EF->BD",0.435714943484038,0.521961909952438
"EF->BD",0.593468942234492,0.633332247019394
"EF->BD",0.75975478747273,0.81885339838012
"EF->BD",0.612288811014028,0.743166300722786
"EF->BD",0.555369479788403,0.826594186948234
"EF->BD",0.787795086020085,0.89565505550308
"EF->BD",1,1
"BD<->EF",0.382532410552058,0.521921937039767
"BD<->EF",0.644643531357578,0.703949314380535
"BD<->EF",0.70109171509469,0.612300740935981
"BD<->EF",0.618720104740453,0.649525378027289
"BD<->EF",0.250280784286814,0.526600074916318
"BD<->EF",0.366631112967428,0.605643848780723
"BD<->EF",0.390531028423139,0.629093597863799
"BD<->EF",0.621917023135537,0.922557747202909
"BD<->EF",0.862774293594269,0.875362816832178
"BD<->EF",0.18513931366081,0.562469709005958
"BD<->EF",0.706825608701616,0.751574697767988
"BD<->EF",0.664026170389185,0.605015418576256
"BD<->EF",0.489780130402242,0.433369269287848
"BD<->EF",0.76696905447538,0.531887086276088
"BD<->EF",0.871639138332332,0.90490518750868
"BD<->EF",0.568752127188733,0.85519971680541
"BD<->EF",0.716614534001512,0.909172253727661
"BD<->EF",0.881665057193096,0.804688515392542
"BD<->EF",0.94712947790375,0.674022388752584
"BD<->NO3",0.364901341800262,0.364901341800262
"BD<->NO3",0.801346408223799,0.892693410620347
"BD<->NO3",0.86551069903522,0.86551069903522
"BD<->NO3",0.687425700186885,0.711994483301533
"BD<->NO3",0.443652675503374,0.458463661432139
"BD<->NO3",0.178736867388331,0.242905727083919
"BD<->NO3",0.955733330719198,0.955733330625247
"BD<->NO3",0.321268550681596,0.472699599541279
"BD<->NO3",0.579771833311764,0.483595883301014
"BD<->NO3",0.837358241871747,0.837358241871747
"BD<->NO3",0.954759035752392,0.954759035752392
"BD<->NO3",0.921690572325085,0.921690572325085
"BD<->NO3",0.860720024686157,0.860720024686156
