"","NO3->EF","BD->EF","PO4->EF","Temp->EF","W_stability->EF","Irradiance->EF","NO3->BD","EF->BD","PO4->BD","Temp->BD","BD<->EF","BD<->NO3","BD<->PO4","NO3<->EF","PO4<->EF","Type I-N","Type II-N","Type I-P","Type II-P"
"Gv",0.728581767686686,0.508243413676622,0.635970817678006,0.574644760939306,0.374021091111856,0.228066809744831,0.269048237480413,0.535968595033605,0.761002054427038,1,0.521921937039767,0.364901341800262,0.76138759350594,0.668335825726389,0.626784019750354,0.437660848929785,0.578157464538066,0.620514703831017,0.637970745732178
"Bw",0.830719293169578,0.613833635886891,0.510387391904673,0.629931310193683,1,0.66061350000088,0.999631634331306,0.670635277534044,0.986473188115249,0.321834153236897,0.703949314380535,0.892693410620347,0.823186077826307,0.993923084847453,0.543425848697716,0.900286305614551,0.811615540059328,0.704972547188666,0.656569837772227
"Ks_3",0.506616299585414,0.771875524927306,0.355517694539996,0.178958174121204,0.350226334977017,0.170604937592944,0.749108770144436,0.485715876774381,0.374131115444953,0.181644624515483,0.612300740935981,0.86551069903522,0.207566230175686,0.508062771413444,0.368000364282225,0.665399667857228,0.626643423255641,0.479147020335734,0.2709220557924
"Ks_9",0.975471183812741,0.586151457781657,0.761625758762053,0.134015593872076,0.285250929528089,0.168034713640567,0.708688051227284,0.719751202697931,0.645155293226514,0.258222413957697,0.649525378027289,0.711994483301533,0.706677544073633,0.987659447285723,0.75628145137848,0.746142285832779,0.794874070608233,0.657304283991048,0.751451196188592
"Me",0.671935163993278,0.44542457135846,0.703695587005196,0.477354048499743,NA,NA,0.324905614482446,0.622569244566227,0.38856744049219,0.630139435073737,0.526600074916318,0.458463661432139,0.470646008114589,0.591313276200017,0.838865654920498,0.42229223174488,0.646828604778707,0.55728864275928,0.629745318122649
"Mo",0.182418675477614,0.59698917028025,0.233106582695723,1,NA,NA,0.288380148960605,0.614423995989299,0.232287347197478,0.53731954110796,0.605643848780723,0.242905727083919,0.429578849033234,0.0994806237073708,0.243124863709576,0.210594248073964,0.284107394867573,0.327616228613351,0.484574969816785
"Mu",0.453902915058969,0.653647806952068,0.480887157489915,0.372639612242604,0.378313380966343,0.246686709070453,0.913426199268029,0.605461764981092,0.840601576244193,0.250759594581246,0.629093597863799,0.955733330625247,0.867903417084149,0.55658748170621,0.554130601339269,0.741379186980361,0.650154487998598,0.70529645238032,0.638990153595354
"Ng",0.405179273566806,1,0.695726638666735,0.385626640487736,NA,NA,0.246834535835538,0.851112796924106,0.61407599274846,0.720262929588325,0.922557747202909,0.472699599541279,0.557750901755393,0.330647860616633,0.572081302347019,0.405349876936673,0.678369472039658,0.66104800366408,0.669413909255023
"Wc",0.613262656287367,1,0.369137592328906,0.352066209669614,0.0795566168353173,NA,0.62370149656664,0.766260061092366,0.834114138554517,0.637153606971988,0.875362816832178,0.483595883301014,0.822800041432783,0.503294414249417,0.457118119608276,0.636294489930532,0.560622303244131,0.778690172180764,0.612316361279858
"Ft",0.553817354024098,0.570621299674436,0.517740109106082,0.23766543689026,NA,NA,1,0.554434567601579,0.209198546504441,0.179492594946525,0.562469709005958,0.837358241871747,0.255493440801707,0.717234155484107,0.542619828168875,0.809284299070698,0.5993490475832,0.407939146730481,0.447425761577377
"Sh",0.60350890328102,0.884712253681671,0.881010373383989,0.330128745092088,NA,NA,0.911564816350838,0.63847259261347,0.862501305118804,0.583374396906386,0.751574697767988,0.954759035752392,0.825225155296753,0.632098312413194,0.826226070191687,0.811256878968028,0.72768258295175,0.839317329220742,0.762961831526627
"Ib_a",0.745590232208027,0.548835543088846,0.465842581809822,0.184912100716003,NA,NA,0.849513511112942,0.666945975573865,0.166802180798463,0.231351047766883,0.605015418576256,0.921690572325085,0.212141354226913,0.725398662398236,0.496531700691297,0.69038063891607,0.792252506806921,0.364557673200375,0.437649325286807
"Ib_b",0.728591141258437,0.35981346527795,0.405674697531987,0.187864822103967,NA,NA,0.740838960895737,0.521961909952438,0.159197721606571,0.152549226755773,0.433369269287848,0.860720024686156,0.258273308005279,0.670907358787106,0.285792152218399,0.548126522124563,0.724504186511365,0.225932640987488,0.446011761757538
"Ib_c",0.479225233443556,0.446691091253725,0.432318683583685,0.0444168751480699,NA,NA,0.823253189434649,0.633332247019394,0.349066810889201,0.207928555600671,0.531887086276088,0.907333009117738,0.355765317886524,0.518794233526711,0.387142280619539,0.591103828077806,0.672032732016822,0.378109582765823,0.463039550804366
"Vo",0.478944437731425,1,0.583268089724977,0.134408117082669,0.665289198167847,0.469097148906551,0.475545380198495,0.81885339838012,0.410302642142038,0.0976541074080441,0.90490518750868,0.418965191777255,0.463394522463679,0.462227458358407,0.599074782140385,0.596402476717786,0.525071447433873,0.632022769325561,0.629927570749109
"Od",0.269587133043861,0.984122335623593,1,0.918053050052073,0.271505131830043,NA,0.619656290267672,0.743166300722786,0.461665320253752,0.508058265050399,0.85519971680541,0.597439371614185,0.673789793046816,0.323946509067719,0.945795124025249,0.619178403235042,0.486863624824559,0.740724701086591,0.900746404388653
"Mg",0.523346436473326,1,0.431962670412457,0.219407307804522,0.164447389014224,0.385144219749919,0.647122061987635,0.826594186948234,0.401542992990443,0.368988903730245,0.909172253727661,0.663934903573562,0.421520669556172,0.609979583802157,0.386123911766321,0.771985561592032,0.665450063624661,0.517503243784781,0.540606696554186
