"Target","Type","Variable","RDA1","RDA2"
"BiomassDrivers","Site_score","Gv",-0.0279488155614135,0.464881892331223
"BiomassDrivers","Site_score","Bw",0.0174895838450532,0.581043124440878
"BiomassDrivers","Site_score","Ks_3",0.115590460144943,-0.224508097153672
"BiomassDrivers","Site_score","Ks_9",0.351389805670661,0.0010751828463982
"BiomassDrivers","Site_score","Me",-0.0114552329410008,0.321891600229935
"BiomassDrivers","Site_score","Mo",-0.65478885579017,0.73561995873329
"BiomassDrivers","Site_score","Mu",-0.0913367310216437,0.00879145813423057
"BiomassDrivers","Site_score","Ng",-0.17699759671912,-0.38050626943331
"BiomassDrivers","Site_score","Wc",0.029766050768638,-0.0670738257706791
"BiomassDrivers","Site_score","Ft",0.105245952767115,-0.0454168064317442
"BiomassDrivers","Site_score","Sh",-0.0331296496616873,-0.309951112600782
"BiomassDrivers","Site_score","Ib_a",0.303907126392725,0.121686636142643
"BiomassDrivers","Site_score","Ib_b",0.36332982206506,0.35826414290301
"BiomassDrivers","Site_score","Ib_c",0.283487916788864,-0.279415337240652
"BiomassDrivers","Site_score","Vo",0.0371850240879711,-0.56445077047412
"BiomassDrivers","Site_score","Od",-0.499741102713864,-0.0673778950887673
"BiomassDrivers","Site_score","Mg",0.0418048730598805,-0.341398856124258
"BiomassDrivers","Site_score","Kn",0.102870584078881,0.119513914569801
"BiomassDrivers","Site_score","Wd",-0.256669215260893,-0.432668940013424
"BiomassDrivers","Loading","BD->EF",-0.035315136175666,-0.254787981868063
"BiomassDrivers","Loading","NO3->EF",0.485344007993332,0.30713753720255
"BiomassDrivers","Loading","PO4->EF",-0.0905917422400525,-0.234517582758165
"BiomassDrivers","Loading","Temp->EF",-0.405693444980041,0.441985430658092
"BiomassDrivers","Environment_score","Richness",0.418964075530409,-0.391527431545049
"BiomassDrivers","Environment_score","Biomass",0.607162905806582,-0.17921629046536
"BiomassDrivers","Environment_score","Temp",0.428412367244531,0.250045764860338
"BiomassDrivers","Environment_score","NO3",0.296208844585084,-0.339470100712229
"BiomassDrivers","Environment_score","PO4",-0.374020663721395,0.353120776889476
"BiomassDrivers","Environment_score","Depth",0.0231206698162389,0.103111998243274
"RichnessDrivers","Site_score","Gv",-0.530993888641982,-0.739365590266147
"RichnessDrivers","Site_score","Bw",0.100518463243249,0.0976596131462649
"RichnessDrivers","Site_score","Ks_3",0.304367017030098,0.0180684341208619
"RichnessDrivers","Site_score","Ks_9",0.0647476961445746,0.371857603262188
"RichnessDrivers","Site_score","Me",-0.336863364732042,-0.295141158134424
"RichnessDrivers","Site_score","Mo",-0.287796517607081,-0.205113299459614
"RichnessDrivers","Site_score","Mu",0.139712108499584,0.131502903774386
"RichnessDrivers","Site_score","Ng",-0.451567604278373,0.0523591994780225
