"Convergent_cross_map","Library length","Cross-map skill"
"Biomass xmap Richness",5,0.118845726166348
"Biomass xmap Richness",10,0.19556623945758
"Biomass xmap Richness",20,0.26027455167188
"Biomass xmap Richness",30,0.275712938484858
"Biomass xmap Richness",40,0.284666824059977
"Biomass xmap Richness",50,0.311548779391311
"Biomass xmap Richness",100,0.359709882221715
"Biomass xmap Richness",150,0.358448498317422
"Biomass xmap Richness",200,0.357469579388054
"Biomass xmap Richness",250,0.355769700488099
"Biomass xmap Richness",300,0.358923729650844
"Biomass xmap Richness",345,0.369351258947294
"Richness xmap Biomass",5,0.0472662626673621
"Richness xmap Biomass",10,0.112602906754832
"Richness xmap Biomass",20,0.150765249420843
"Richness xmap Biomass",30,0.173903772461673
"Richness xmap Biomass",40,0.198598159521578
"Richness xmap Biomass",50,0.213399539131696
"Richness xmap Biomass",100,0.292698863552424
"Richness xmap Biomass",150,0.318876913573551
"Richness xmap Biomass",200,0.348453505491146
"Richness xmap Biomass",250,0.375785764474984
"Richness xmap Biomass",300,0.403287470043352
"Richness xmap Biomass",310,0.411962309510374
"PO4 xmap Biomass",5,0.141241024108136
"PO4 xmap Biomass",10,0.227750995357394
"PO4 xmap Biomass",20,0.296926371427572
"PO4 xmap Biomass",30,0.344742175556831
"PO4 xmap Biomass",40,0.358360613929422
"PO4 xmap Biomass",50,0.356620059266877
"PO4 xmap Biomass",100,0.387460895419841
"PO4 xmap Biomass",150,0.425335211732102
"PO4 xmap Biomass",200,0.452708208817957
"PO4 xmap Biomass",250,0.461225586812695
"PO4 xmap Biomass",300,0.469999996526813
"PO4 xmap Biomass",349,0.481573413813661
"Biomass xmap PO4",5,0.132264288348479
"Biomass xmap PO4",10,0.227024508021274
"Biomass xmap PO4",20,0.287133915258033
"Biomass xmap PO4",30,0.337706972243559
"Biomass xmap PO4",40,0.351360377579673
"Biomass xmap PO4",50,0.378328202213006
"Biomass xmap PO4",100,0.401624327623244
"Biomass xmap PO4",150,0.41785933137865
"Biomass xmap PO4",200,0.432980559207692
"Biomass xmap PO4",250,0.457157563938042
"Biomass xmap PO4",300,0.482775686394583
"Biomass xmap PO4",347,0.494738195788353
"PO4 xmap Richness",5,0.0577629428245084
"PO4 xmap Richness",10,0.116028234418138
"PO4 xmap Richness",20,0.170754353337791
"PO4 xmap Richness",30,0.201095733921887
"PO4 xmap Richness",40,0.240738477994483
"PO4 xmap Richness",50,0.262345077488517
"PO4 xmap Richness",100,0.342854622473194
"PO4 xmap Richness",150,0.387422043308242
"PO4 xmap Richness",200,0.419237537786207
"PO4 xmap Richness",250,0.441850136240085
"PO4 xmap Richness",300,0.460552609745627
"PO4 xmap Richness",350,0.469527988452375
"PO4 xmap Richness",362,0.471174479025573
"Richness xmap PO4",5,0.0388393292091105
"Richness xmap PO4",10,0.0722545050148667
"Richness xmap PO4",20,0.0949290509189177
"Richness xmap PO4",30,0.118685677318267
"Richness xmap PO4",40,0.126883273975032
"Richness xmap PO4",50,0.154451240519231
"Richness xmap PO4",100,0.277787087264203
"Richness xmap PO4",150,0.318443365653271
"Richness xmap PO4",200,0.344063977060315
"Richness xmap PO4",250,0.359355977199644
"Richness xmap PO4",300,0.386148340461283
"Richness xmap PO4",310,0.392706153567223
