"","NO3->Shannon","EF->Shannon","PO4->Shannon","Temp->Shannon","Richness->EF","Shannon->EF"
"Gv",0.487135691066266,0.685114723669171,0.449446997846916,0.867008526444208,0.410505217189789,0.52970556767631
"Bw",0.600716709406901,0.48863256527902,0,0.574747477180689,0.65779768917641,0.501674013719348
"Ks_3",0.545421301475563,0.536374215998652,0.245828667634343,0.141989959822136,0.738974764858503,0.640463863843799
"Ks_9",0.495462993373612,0.34812928664134,0.398511749054445,0.251471382982604,0.585848440230448,0.49199376851098
"Me",0.498073480297515,1,0.262320451277783,0.400696291772022,0.181416790863426,0.444572741838198
"Mo",0.170304067443191,0.0352785974475749,0.618078533410674,0.546837690705569,0.30795777593853,0.0574081162027417
"Mu",0.559924510427631,0.845839122890548,0.263359674366981,0.147049413899899,0.500916358370308,1
"Ng",1,0.374494344379684,0.211488409463101,0.249989792746552,0.557699074646542,0.427234236092869
"Wc",0.62664912897918,0.766299156847732,1,0.583067516056493,0.813646217843447,0.407872956238618
"Ft",0.485728021967431,0.339434434727698,0.326838945308137,0.168884371369243,0.198865391938824,0.379279931691529
"Sh",0.602883624140826,0.628649696814494,0.47173009953575,0.251498043018933,0.752056045936288,0.477907556201098
"Ib_a",0.457401612828551,0.215999632117224,0.22449347093165,0.20996848483881,0.752229645848788,0.366473401136665
"Ib_b",0.448882040125404,0.202754520161181,0.262020062958822,0.0468189660981066,0.550553933768455,0.301764140172159
"Ib_c",0.462514977538631,0.145785415836836,0.618867835751076,0.270260153511421,0.991191768701573,0.24455383342007
"Vo",0.342865419928872,0.466182349485274,0.267158967769356,0.386081258725679,1,0.882230828071422
"Od",0.619601189373916,0.62774716858214,0.150330849815562,0.248958567030347,0.652522857114999,0.314878759081421
"Mg",0.568172532655711,0.842252531598951,0.193410577230848,0.374922729322402,0.772644955654625,1
"Kn",0.652168781664437,0.866570362148958,0.710532834158823,0.43227445306663,0.798246747627901,1
"Wd",0.463718716396591,1,0.446640968215916,0.103848438058225,0.638661883088974,0.679837753352719
"Min.",0.170304067443191,0.0352785974475749,0,0.0468189660981066,0.181416790863426,0.0574081162027417
"1st Qu.",0.463116846967611,0.343781860684519,0.235161069282997,0.189426428104026,0.525735146069382,0.372876666414097
"Median",0.498073480297515,0.536374215998652,0.267158967769356,0.251498043018933,0.652522857114999,0.477907556201098
"Mean",0.530927621004749,0.548186217085604,0.374792583933168,0.329282816665788,0.624301871515675,0.534097445644734
"3rd Qu.",0.601800166773863,0.804275844223342,0.460588548691333,0.416485372419326,0.762437300751706,0.660150808598259
"Max.",1,1,1,0.867008526444208,1,1
"IQR",0.138683319806252,0.460493983538823,0.225427479408337,0.227058944315299,0.236702154682325,0.287274142184162
