"","NO3->EF","BD->EF","PO4->EF","Temp->EF","W_stability->EF","Irradiance->EF","NO3->BD","EF->BD","PO4->BD","Temp->BD","W_stability->BD","Irradiance->BD"
"Gv",0.58205036402365,0.410505217189789,0.367499924780052,0.368102106652902,0.30439344878632,0.207251280938816,0.269048237480413,0.356465737815738,0.761002054427038,1,0.394534582181792,0.247975793531284
"Bw",0.645738113100146,0.581600778801779,0.745674859779752,0.779181344260713,1,0.376537086641767,0.793397071806502,0.55857250078664,0.782953352001329,0.255436368774271,0.402175792787908,0.157474358327081
"Ks_3",0.664581846586557,0.738974764858504,0.326987512345092,0.378702778544485,0.444577782631219,0.276548326658306,0.749108770144436,0.665150714677695,0.374131115444953,0.181644624515483,0.315477778098244,0.122426752552315
"Ks_9",1,0.585848440230448,0.784731588978806,0.366770317902886,0.346327834084723,0.265008155715438,0.684233363115365,0.653436181991803,0.622892929056148,0.249311936934828,0.231515941837171,0.233700714555033
"Me",0.30059655617979,0.250667428422481,0.797411911587582,0.721000557836736,NA,NA,0.314409315723211,0.249894739184564,0.376014502772064,0.609782348351658,NA,NA
"Mo",0.890071099878576,0.30795777593853,0.656590780029748,1,NA,NA,0.212198227067676,0.436483126541285,0.170923565381375,0.395374835621928,NA,NA
"Mu",0.451336192558325,0.517595667239643,0.669738295493693,0.382261855128366,0.252060963091323,0.101685730892967,0.913426199268029,0.29465950697084,0.840601576244195,0.250759594581246,0.699759233133261,0.354065315712183
"Ng",0.394213806954883,0.612181604538099,0.57555563563528,0.117373816096289,NA,NA,0.167760187787345,0.631807262417823,0.417354498269321,0.489524060784219,NA,NA
"Wc",0.645518053883185,0.941791199433477,0.694321662531596,0.298741219783705,0.351512461949429,NA,0.747741187611911,0.79038695852633,1,0.763868609248306,0.683684925519687,NA
"Ft",0.483598189370178,0.198865391938824,0.46890749429352,0.100666659631862,NA,NA,1,0.172360636150004,0.209198546504441,0.179492594946525,NA,NA
"Sh",0.643605704865128,0.752056045936287,0.519893726118094,0.353333922539552,NA,NA,0.911564816350836,0.664315437414531,0.862501305118802,0.583374396906384,NA,NA
"Ib_a",0.964674126268671,0.752229645848787,0.258410588761906,0.102775284810316,NA,NA,0.849513511112942,0.586165085881716,0.166802180798463,0.231351047766883,NA,NA
"Ib_b",0.631556895876699,0.550553933768456,0.20445023886253,0.154944885502005,NA,NA,0.740838960895737,0.435714943484037,0.159197721606571,0.152549226755773,NA,NA
"Ib_c",0.453019978254179,0.991191768701574,0.230444367997089,0.143938932446825,NA,NA,0.823253189434649,0.593468942234493,0.349066810889201,0.207928555600671,NA,NA
"Vo",0.64433075022075,1,0.633379298927705,0.135943793710733,0.72075134406123,0.429319197167561,0.490310289097262,0.759754787472729,0.423041870372206,0.10068610826329,0.316664223239733,0.421954621283926
"Od",0.429572135578823,0.652522857114999,0.62191327493108,0.688072547712851,0.0373662446286033,NA,0.620304694518599,0.632319263458123,0.434170569558084,0.491923235168725,0.399654820502909,NA
"Mg",1,0.924675209984285,0.253346956764023,0.329039680652973,0.632832634501709,0.538221664447683,0.797429976954186,0.555369479788403,0.494809926064,0.454694454542616,0.46503350864977,0.477918019123175
"Kn",0.722548311794231,0.986720134295796,0.528455293044363,0.485401563770135,0.374924015807078,0.436055949416102,0.739091020725234,0.787795086020086,0.975126057307449,0.974199259615316,0.317179159870107,0.400981268115424
"Wd",0.0810851723717333,0.897054247914229,0.961919169706219,0.230606963848443,0.501866387032346,NA,0.842187136274761,1,0.728373661862399,0.776084863032785,0.528321294473761,NA
"Min.",0.0810851723717333,0.198865391938824,0.20445023886253,0.100666659631862,0.0373662446286033,0.101685730892967,0.167760187787345,0.172360636150004,0.159197721606571,0.10068610826329,0.231515941837171,0.122426752552315
"1st Qu.",0.452178085406252,0.534074800504049,0.347243718562572,0.149441908974415,0.325360641435522,0.250568937021283,0.55530749180793,0.436099035012661,0.361598963167077,0.219639801683777,0.31692169155492,0.214644125498045
"Median",0.643605704865128,0.652522857114999,0.57555563563528,0.353333922539552,0.374924015807078,0.326542706650036,0.747741187611911,0.593468942234493,0.434170569558084,0.395374835621928,0.399654820502909,0.301020554621733
"Mean",0.612005120935027,0.665946953271368,0.542085925293059,0.375624117412199,0.451510283324907,0.32882842398483,0.666621902914163,0.569690546885097,0.534113802298844,0.439367690600574,0.432181932754031,0.302062105400053
"3rd Qu.",0.693565079190394,0.910864728949257,0.682029979012644,0.43383170944925,0.567349510767028,0.431003385229697,0.832720162854705,0.664733076046113,0.771977703214183,0.596578372629021,0.496677401561765,0.406224606407549
"Max.",1,1,0.961919169706219,1,1,0.538221664447683,1,1,1,1,0.699759233133261,0.477918019123175
"IQR",0.241386993784142,0.376789928445208,0.334786260450072,0.284389800474835,0.241988869331506,0.180434448208414,0.277412671046775,0.228634041033452,0.410378740047106,0.376938570945244,0.179755710006845,0.191580480909504
