"","CladoceraH->Biomass","CopepodaH->Biomass","CrustaceaH->Biomass","Richness->Biomass","CladoceraH->Richness","CopepodaH->Richness","CrustaceaH->Richness","NO3->Richness"
"Gv",0.220567903997165,0.119848397401957,0.241418183688328,0.410505217189789,0.872123423744006,0.632894981290891,0.710238556637269,0.269048237480413
"Bw",0.33020539322699,0.331561910440134,0.366284634576465,0.6577976888909,0.269412742238778,0.396060636371477,0.406335094982701,0.897341919695297
"Ks_3",0.614559990057671,0.623059883681061,0.616751953961983,0.738974764858503,0.787440138508627,0.442526710313266,0.742279471760578,0.749108770144435
"Ks_9",0.580599833608833,0.571473059935499,0.657789606646733,0.585848440230448,1,0.214984452261172,0.383604381267603,0.684233363115366
"Me",0,0,0,0.250667426995038,0.370105015554361,0.86964141830122,0.877092811846832,0.314409313789293
"Mo",0.14812419586397,0.026257541829022,0.049689926571271,0.307957776078767,0.287070810437555,0.583563643425971,0.459369904901353,0.212198227054639
"Mu",0.411692459039969,0.55015761654184,0.534657560264262,0.517595667327325,0.501007723256054,0.15725115733996,0.307228033016583,0.913426199447612
"Ng",0.463934147263132,0.759897867594676,0.326702935763255,1,0.411696694053483,0.267864431492987,0.32783680559157,0.490310289097262
"Wc",0.411424839606973,0.156015121662837,0.439760652826544,0.528311111297275,0.553138074713161,0.379365966789886,0.567074223806663,0.630128698128218
"Ft",0.319513199467708,0.227243303872564,0.0929096860275518,0.924675209984285,0.669395908703127,0.074819246011072,0.147470310832844,0.797429976954188
"Sh",0.300736623599602,0.90727242762437,0.900400701095345,0.986720134295795,0.476142391976285,0.977836393459522,1,0.739091020725234
"Ib_a",NA,NA,NA,0.6121816045381,NA,NA,NA,0.167760187787345
"Ib_b",NA,NA,NA,0.941791199433477,NA,NA,NA,0.747741187611911
"Ib_c",NA,NA,NA,0.198865391938825,NA,NA,NA,1
"Vo",NA,NA,NA,0.75205604593629,NA,NA,NA,0.911564816350837
"Od",NA,NA,NA,0.752229645848787,NA,NA,NA,0.849513511112942
"Mg",NA,NA,NA,0.550553933768456,NA,NA,NA,0.740838960895738
"Kn",NA,NA,NA,0.991191768701573,NA,NA,NA,0.823253189434649
"Wd",NA,NA,NA,0.89705424791423,NA,NA,NA,0.842187136274762
"Min.",0,0,0,0.198865391938825,0.269412742238778,0.074819246011072,0.147470310832844,0.167760187787345
"1st Qu.",0.260652263798384,0.137931759532397,0.16716393485794,0.5229533893123,0.390900854803922,0.24142444187708,0.355720593429587,0.56021949361274
"Median",0.33020539322699,0.331561910440134,0.366284634576465,0.6577976888909,0.501007723256054,0.396060636371477,0.459369904901353,0.747741187611911
"Mean",0.345578053248365,0.388435193689451,0.384215076492885,0.66341985659094,0.563412083925949,0.45425536700522,0.538957235876727,0.672609737110534
"3rd Qu.",0.43781330315155,0.59726647180828,0.575704757113123,0.910864728949258,0.728418023605877,0.608229312358431,0.726259014198923,0.845850323693852
"Max.",0.614559990057671,0.90727242762437,0.900400701095345,1,1,0.977836393459522,1,1
"IQR",0.177161039353167,0.459334712275883,0.408540822255183,0.387911339636958,0.337517168801955,0.366804870481352,0.370538420769337,0.285630830081112
"n_significant",5,6,7,16,10,5,7,15
