"","PC 1","PC 2"
"Gv",0.205957898309917,-0.0336129396499345
"Bw",0.0241935179658549,-0.02857881735442
"Ks_3",-0.310794913983363,-0.132638043893952
"Ks_9",0.0556455856254279,-0.106541007091614
"Me",0.278478065022361,0.30154945458357
"Mo",0.251706848246854,-0.241467628827375
"Mu",0.0170540494533619,0.348020173718905
"Ng",0.109489976698616,-0.31912015096535
"Wc",0.277330934107897,0.0810786095380774
"Ft",-0.305970905014407,0.594939403693837
"Sh",-0.0393114153474297,0.0716468946914854
"Ib_a",-0.388813902617511,-0.217835273506678
"Ib_b",-0.359598581779643,0.0578958955628771
"Ib_c",-0.262961253907213,-0.0314714578735382
"Vo",0.0701244176670995,-0.301880610766459
"Od",0.197885177471433,0.187498882066088
"Mg",-0.181224655563638,-0.184741249415408
"Kn",0.0382799434961853,-0.117351813885056
"Wd",0.322529214148198,0.0726096793749456
"BD<->EF",0.00892837406746335,-0.461525303031542
"BD<->NO3",-0.577783791876066,0.598808329025152
"BD<->PO4",0.414931918459332,0.239452253153175
"NO3<->EF",-0.153345759082372,-0.499438232112493
"PO4<->EF",0.417961789041124,0.214552258206674
"Type I-N",-0.193953587211491,-0.190474008934402
"Type II-N",-0.267707004568988,-0.19388046725672
"Type I-P",0.210376766738755,-0.0403119310640383
"Type II-P",0.377050765584054,0.0109244480428602
